what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718164558
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1307718164654
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307718166930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718263367
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718315495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718335324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718591477
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307718593162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718599527
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718761047
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1307718761645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718776079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718776094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718776103
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718797405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718798971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718825882
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1307718828045
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718833485
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718902806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718903815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718930060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718934538
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718945457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718958088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718977267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307718978988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719060445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719062126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719122882
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719125956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719148757
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719151010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719183793
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719185269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719213836
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719218767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719257874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719259829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719327553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719328682
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719337780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719344535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719371898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719377550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719385641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719388956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719424656
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307719469178
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719471948
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719476880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719480031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719490395
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719491282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719590264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719591708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719611508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719612710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719628446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719629338
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719642807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719643525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719668554
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719671788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719674833
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719675957
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719677742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719678359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719685091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307719695825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307720031308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307720032590
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307720058036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307720059085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307720091495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307720094596
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307720322462
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307720330358
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1307720331271
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1307720331373
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1307720331374
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1307720331376
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1307720331380
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1307720331382
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1307720331385
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1307980443991
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1307980443996
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1307980443996
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1307980443996
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1307980443996
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1307980444011
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1307980444011
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1307980444011
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1307980444011
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1307980444011
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1307980444016
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1307980444016
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1307980444016
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1307980444016
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1307980444016
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1307980444016
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1307980444021
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1307980444021
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1307980444021
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1307980444021
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1307980444021
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1307980444021
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1307980444026
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1307980444026
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1307980444026
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1307980444026
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1307980444026
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1307980444031
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1307980444031
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1307980444031
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1307980444036
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1307980444036
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1307980444036
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1307980444036
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1307980444036
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1307980444096
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1307980444096
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1307980444096
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1307980444096
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1307980444101
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1307980444101
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1307980444101
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1307980444101
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1307980444101
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1307980444101
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1307980444106
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1307980444126
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1307980444126
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1307980444126
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1307980444131
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1307980444131
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1307980444136
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1307980444136
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1307980444136
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1307980444136
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1307980444136
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1307980444136
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1307980444141
os,sysinfo,,,"win32",1307980444141
arch,sysinfo,,,"x86",1307980444141
ws,sysinfo,,,"win32",1307980444141
locale,sysinfo,,,"en_US",1307980444141
processors,sysinfo,,,"2",1307980444141
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1307980444141
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1307980444141
java.specification.name,sysinfo,,,"Java Platform API Specification",1307980444141
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307980444141
java.specification.version,sysinfo,,,"1.6",1307980444141
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1307980444141
java.version,sysinfo,,,"1.6.0_24",1307980444141
java.vm.info,sysinfo,,,"mixed mode, sharing",1307980444141
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1307980444141
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1307980444141
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307980444141
java.vm.specification.version,sysinfo,,,"1.0",1307980444141
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1307980444141
java.vm.version,sysinfo,,,"19.1-b02",1307980444141
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1307980444621
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1307980444726
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1307980444731
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1307980444991
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1307980445026
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1307980445231
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1307980445281
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1307980445321
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1307980445496
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1307980445976
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1307980446026
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1307980446421
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1307980446461
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1307980446511
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1307980446791
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1307980446856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307980447681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307980461216
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307980477189
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307980477291
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307980735157
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307980935937
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307980981727
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307980983735
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307980985772
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307980995558
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307980997433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307981014202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307981052987
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307981114178
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307981125212
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307981180824
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307981197736
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307981308548
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1307981309080
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1307981309288
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1307981309292
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1307981309295
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1307981309299
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1307981309319
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1307981309322
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1307981309325
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1307981309352
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1307981309355
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1307981309355
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1307981309407
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1307981309409
